label_name
abalone
acorn barnacle
actinopterygii
algae
amphipod
anchovy
anemone
angel shark
anglerfish
annelid worm
anthozoa
argonaut
arrow crab
bait ball
bamboo shark
barnacle
barrel sponge
basking shark
basket star
bass
beadlet anemone
bear
beluga whale
benthic organism
bigfin squid
bioluminescent organism
bird
bivalvia
blacktip reef shark
blenny
blue crab
blue dragon
blue whale
blue-ringed octopus
boarfish
bobbit worm
bobtail squid
bonito
bottlenose dolphin
bowhead whale
box jellyfish
brain coral
bream
brittle star
bryozoan
bubble coral
bull shark
buoy
butterflyfish
by-the-wind sailor
cable
cake urchin
cannonball jellyfish
cardinalfish
carpet shark
cat shark
cephalopod
cephalopoda
chambered nautilus
chimaera
chiton
chocolate chip sea star
chondrichthyes
christmas tree worm
chub
ciliophora
clam
cleaner shrimp
clownfish
cnidaria
coconut crab
cod
colonial anemone
colossal squid
comb jelly
common dolphin
conch
conger eel
container
copepod
coral
coral polyp
corer
cowrie
crab
crawfish
crayfish
creature
crinoid
crimson
critter
crown-of-thorns starfish
crustacea
ctd
cup coral
cuttlefish
dall's porpoise
damselfish
debris
deck
deep sea creature
deployment
detr
dinoflagellate
dogfish
dolphin
dory
dragonet
drum
dugong
dumbo octopus
dungeness crab
echinoderm
echinodermata
eel
elephant
elkhorn coral
encrusting sponge
end
equipment
exocoetidae
fauna
feather duster worm
feather star
fiddler crab
fin whale
fire coral
fish
fish school
fish swarm
flamboyant cuttlefish
flatback sea turtle
flatfish
flounder
flower hat jelly
flying fish
foraminifera
fusilier
gar
gauge
geoduck
ghost crab
ghost shrimp
giant clam
giant isopod
giant squid
glass squid
glass sponge
glaucus atlanticus
goby
goose
goosefish
goosehead
goosepimples
goosewing
goosey
goosey-gander
goosey-poosey
gorgonian
gray whale
great white shark
green sea turtle
greenland shark
grenadier
gripper
grouper
grunts
haddock
hagfish
hake
halibut
hamlet
hammerhead shark
harbour porpoise
hatchetfish
hawksbill sea turtle
heart urchin
hermit crab
herring
horseshoe crab
hull
humboldt squid
humpback whale
hydrozoan
hydroid
imaging
indigo
insect
instrument
invertebrate
isopod
jack
jackfish
jawfish
jellyfish
jewel anemone
jonah crab
juvenile fish
kemp's ridley sea turtle
keyhole sand dollar
killifish
king crab
krill
lamprey
larva
laser
leatherback sea turtle
lens
leopard shark
light
limpet
ling
lionfish
lion's mane jellyfish
lizardfish
lobster
loggerhead sea turtle
mackerel
mako shark
mammalia
manatee
manipulator
manta ray
mantis shrimp
marine animal
marine fauna
marine life
marine worm
marlin
megamouth shark
message
meter
mimic octopus
minke whale
mission
mollusca
monkfish
moon jellyfish
moon snail
mooring
moray eel
mullet
mushroom coral
mussel
narwhal
nautilus
needlefish
nettle
nudibranch
nurse shark
oarfish
ocean life
octopus
olive ridley sea turtle
operation
orca
organ pipe coral
organism
oyster
paper nautilus
parrotfish
patch
pea crab
peanut worm
pelagic organism
pen
pencil urchin
perch
periwinkle
person
pfeffer's flamboyant cuttlefish
phytoplankton
pike
pilot whale
pipeline
pipefish
pistol shrimp
plaice
plankton
plant
plate coral
platform
pollock
polychaete worm
pomfret
porcelain crab
porcupinefish
porifera
porpoise
portuguese man-o'-war
potato cod
prawn
probe
propeller
pufferfish
purple-striped jellyfish
pyrosome
rabbitfish
radiolaria
ray
razor clam
recovery
red king crab
reef octopus
reef shark
remote
reptile
ribbon worm
right whale
risso's dolphin
rock lobster
rockfish
rope
rov
sailfish
salp
saltwater crocodile
sample
sampler
sand dollar
sand tiger shark
sandbar shark
sardine
sawfish
sawshark
scallop
scorpionfish
scyphozoa
sea anemone
sea creature
sea cucumber
sea fan
sea hare
sea lion
sea nettle
sea pen
sea slug
sea snake
sea squirt
sea star
sea turtle
sea urchin
sea whip
seabird
seadragon
seagrass
seahorse
seal
sei whale
sensor
sergeant major
serpent star
sevengill shark
shark
ship
shipworm
shore crab
shrimp
silky shark
siphonophore
sixgill shark
skate
slate pencil urchin
slipper lobster
smelt
snail
snapper
snapping shrimp
snook
snow crab
soft coral
sole
sonar
sperm whale
spider crab
spiny dogfish
spiny lobster
sponge
squid
staghorn coral
starfish
stargazer
start
stingray
stop
striped pyjama squid
strobe
sturgeon
submersible
sunfish
sunflower sea star
surgeonfish
survey
swordfish
tang
tarpon
taxon
test
tether
thresher shark
threadfin
tiger prawn
tiger shark
tilefish
toadfish
tool
top shell
transducer
trap
triggerfish
trout
tube anemone
tube sponge
tuna
tunicate
turbot
turban shell
turtle
tv
underwater organism
vampire squid
vase sponge
vehicle
venus flytrap sea anemone
vertebrate
vessel
viperfish
walrus
whale
whale shark
whelk
white shrimp
wire
wobbegong
wolffish
worm
wrasse
yellowtail
zebrafish
zoanthid
zooplankton
